                  epoch,             train/loss,               val/loss,     metrics/train_loss,       metrics/val_loss,      metrics/test_loss, metrics/train_accuracy,   metrics/val_accuracy,  metrics/test_accuracy,                   lr/0
                      0,                 4.2282,                 3.7332,                 3.5844,                 3.7332,                 3.7236,                0.26136,                 0.2042,                0.21289,              0.0009802
                      1,                 3.4993,                 3.4101,                 3.1986,                 3.4101,                 3.3711,                0.31632,                0.23547,                0.25537,              0.0009604
                      2,                 3.1944,                 3.2693,                 2.9754,                 3.2693,                 3.2313,                0.35442,                0.26185,                0.26611,              0.0009406
                      3,                 2.9902,                  3.199,                 2.8468,                  3.199,                 3.1627,                0.38569,                0.27455,                0.28223,              0.0009208
                      4,                  2.872,                 3.1314,                 2.6804,                 3.1314,                 3.1061,                0.42721,                0.29067,                0.27344,               0.000901
                      5,                 2.7599,                 3.1062,                  2.626,                 3.1062,                 3.0495,                0.43454,                0.28432,                0.27832,              0.0008812
                      6,                 2.6836,                  3.059,                 2.5584,                  3.059,                 3.0048,                0.46605,                0.29702,                0.29053,              0.0008614
                      7,                  2.618,                 3.0384,                 2.4659,                 3.0384,                 2.9874,                0.49194,                0.29897,                0.29639,              0.0008416
                      8,                 2.5649,                  3.017,                 2.4335,                  3.017,                 2.9726,                0.49218,                0.29995,                0.30176,              0.0008218
                      9,                 2.5029,                 3.0104,                 2.3798,                 3.0104,                 2.9842,                0.51026,                0.29262,                0.28906,               0.000802
                     10,                 2.4565,                 2.9777,                 2.3133,                 2.9777,                 2.9355,                0.53664,                0.31607,                0.30518,              0.0007822
                     11,                 2.4151,                 2.9688,                 2.2735,                 2.9688,                 2.9403,                0.54446,                0.31168,                0.30029,              0.0007624
                     12,                 2.3644,                 2.9873,                 2.2538,                 2.9873,                 2.9337,                0.55471,                0.29067,                0.30957,              0.0007426
                     13,                 2.3285,                 2.9584,                 2.2195,                 2.9584,                 2.9176,                0.56986,                0.30923,                0.29883,              0.0007228
                     14,                 2.3078,                 2.9723,                 2.1923,                 2.9723,                 2.9063,                0.57181,                0.30679,                0.31201,               0.000703
                     15,                   2.28,                 2.9615,                 2.1585,                 2.9615,                 2.9238,                0.58818,                0.30581,                0.29541,              0.0006832
                     16,                 2.2454,                 2.9404,                 2.1222,                 2.9404,                  2.902,                 0.5999,                0.31314,                0.30176,              0.0006634
                     17,                  2.237,                 2.9555,                 2.1085,                 2.9555,                 2.9156,                0.60528,                0.30386,                0.29785,              0.0006436
                     18,                 2.1984,                 2.9343,                 2.0905,                 2.9343,                 2.8953,                0.61065,                0.31705,                0.30908,              0.0006238
                     19,                 2.1776,                  2.943,                 2.0807,                  2.943,                 2.8915,                0.62189,                0.31119,                0.30566,               0.000604
                     20,                 2.1634,                 2.9387,                  2.046,                 2.9387,                 2.8996,                0.62677,                0.31119,                0.30322,              0.0005842
                     21,                 2.1523,                 2.9204,                  2.021,                 2.9204,                 2.8766,                0.64362,                0.31461,                0.30908,              0.0005644
                     22,                 2.1114,                 2.9342,                 2.0199,                 2.9342,                 2.8932,                0.63556,                0.31265,                 0.3042,              0.0005446
                     23,                 2.1011,                 2.9198,                  1.996,                 2.9198,                 2.8782,                0.65046,                0.32096,                0.31641,              0.0005248
                     24,                 2.0736,                 2.9323,                 1.9893,                 2.9323,                 2.8936,                0.65242,                0.30874,                 0.3042,               0.000505
                     25,                 2.0719,                 2.9188,                 1.9876,                 2.9188,                 2.8668,                0.65852,                0.31998,                0.31055,              0.0004852
                     26,                  2.064,                 2.9265,                 1.9665,                 2.9265,                 2.8805,                0.65975,                0.32193,                0.31055,              0.0004654
                     27,                 2.0416,                 2.9333,                 1.9446,                 2.9333,                  2.884,                0.66683,                 0.3063,                 0.3125,              0.0004456
                     28,                 2.0469,                 2.9069,                 1.9421,                 2.9069,                 2.8596,                0.66536,                0.31363,                0.30664,              0.0004258
                     29,                 2.0282,                 2.9173,                 1.9341,                 2.9173,                 2.8748,                0.67245,                0.31265,                0.30762,               0.000406
                     30,                 2.0035,                 2.9221,                 1.9452,                 2.9221,                 2.8776,                0.66341,                 0.3151,                0.30225,              0.0003862
                     31,                 1.9917,                 2.9136,                 1.9148,                 2.9136,                 2.8606,                0.66854,                0.31265,                0.30957,              0.0003664
                     32,                 1.9972,                 2.9281,                 1.9068,                 2.9281,                 2.8703,                0.68393,                0.31803,                0.30518,              0.0003466
                     33,                  1.981,                 2.9079,                 1.8914,                 2.9079,                 2.8582,                0.69126,                0.31607,                0.30811,              0.0003268
                     34,                 1.9644,                 2.9177,                 1.8784,                 2.9177,                 2.8645,                0.67978,                0.31803,                0.31396,               0.000307
                     35,                 1.9841,                 2.9074,                 1.8783,                 2.9074,                 2.8657,                0.69223,                0.31705,                0.31738,              0.0002872
                     36,                 1.9838,                 2.9132,                 1.8776,                 2.9132,                 2.8617,                0.69174,                0.30288,                0.30908,              0.0002674
                     37,                 1.9501,                 2.9148,                 1.8722,                 2.9148,                 2.8633,                0.69003,                0.30923,                0.30664,              0.0002476
                     38,                 1.9449,                 2.9048,                 1.8749,                 2.9048,                 2.8607,                0.69956,                0.31168,                0.30859,              0.0002278
                     39,                 1.9509,                 2.9083,                 1.8553,                 2.9083,                  2.861,                0.70347,                0.31998,                0.31055,               0.000208
                     40,                 1.9302,                 2.9014,                 1.8577,                 2.9014,                  2.854,                0.70322,                0.31705,                0.30469,              0.0001882
                     41,                 1.9344,                 2.9056,                 1.8398,                 2.9056,                 2.8587,                0.70957,                0.31851,                0.31152,              0.0001684
                     42,                 1.9069,                 2.8943,                 1.8441,                 2.8943,                 2.8494,                0.71275,                0.31803,                0.31689,              0.0001486
                     43,                 1.9292,                 2.8997,                 1.8544,                 2.8997,                 2.8552,                0.70884,                0.31607,                0.30957,              0.0001288
                     44,                 1.9157,                  2.896,                 1.8375,                  2.896,                 2.8508,                0.71666,                0.32047,                0.31299,               0.000109
                     45,                 1.9005,                 2.8956,                 1.8132,                 2.8956,                 2.8532,                0.71837,                0.31265,                 0.3125,               8.92e-05
                     46,                 1.8863,                 2.8923,                 1.8274,                 2.8923,                 2.8484,                0.72594,                0.31461,                0.31396,               6.94e-05
                     47,                 1.8996,                 2.8921,                 1.8274,                 2.8921,                 2.8492,                0.70933,                0.31803,                0.31104,               4.96e-05
                     48,                 1.9007,                 2.8953,                 1.8264,                 2.8953,                 2.8522,                0.71202,                0.31461,                0.31445,               2.98e-05
                     49,                 1.9084,                 2.8936,                 1.8185,                 2.8936,                 2.8484,                0.72521,                 0.3107,                0.31445,                  1e-05
