                  epoch,             train/loss,               val/loss,     metrics/train_loss,       metrics/val_loss,      metrics/test_loss, metrics/train_accuracy,   metrics/val_accuracy,  metrics/test_accuracy,                   lr/0
                      0,                 3.2958,                 2.1852,                 1.9419,                 2.1852,                 2.1769,                0.84221,                 0.7533,                0.75244,              0.0009802
                      1,                 1.6508,                 1.5478,                 1.2879,                 1.5478,                 1.5399,                0.96287,                0.89008,                0.88965,              0.0009604
                      2,                 1.2539,                   1.36,                 1.1022,                   1.36,                 1.3548,                0.98363,                0.92233,                0.91553,              0.0009406
                      3,                  1.112,                 1.2936,                 1.0332,                 1.2936,                 1.2858,                0.99047,                0.92623,                0.92529,              0.0009208
                      4,                 1.0456,                 1.2506,                0.98975,                 1.2506,                 1.2466,                0.99487,                0.93258,                0.92969,               0.000901
                      5,                 1.0016,                 1.2244,                0.96235,                 1.2244,                  1.226,                0.99682,                0.93747,                0.93359,              0.0008812
                      6,                0.97701,                 1.2048,                0.94018,                 1.2048,                 1.2057,                0.99756,                 0.9404,                0.93701,              0.0008614
                      7,                 0.9532,                 1.1979,                0.92641,                 1.1979,                 1.1961,                 0.9978,                0.94235,                0.93799,              0.0008416
                      8,                0.93813,                 1.1904,                0.91231,                 1.1904,                 1.1888,                0.99902,                0.94382,                0.94287,              0.0008218
                      9,                0.92749,                 1.1822,                 0.9027,                 1.1822,                 1.1833,                0.99951,                0.94431,                0.93994,               0.000802
                     10,                 0.9165,                 1.1759,                0.89414,                 1.1759,                  1.178,                0.99976,                0.94529,                0.93896,              0.0007822
                     11,                0.90754,                 1.1741,                0.88722,                 1.1741,                 1.1758,                0.99976,                0.94577,                0.94238,              0.0007624
                     12,                0.90013,                 1.1715,                0.88183,                 1.1715,                 1.1757,                0.99976,                0.94626,                0.94238,              0.0007426
                     13,                0.89445,                 1.1679,                0.87577,                 1.1679,                 1.1716,                      1,                0.94724,                0.94189,              0.0007228
                     14,                0.88815,                 1.1664,                0.87182,                 1.1664,                 1.1711,                      1,                0.94919,                0.94336,               0.000703
                     15,                0.88215,                  1.168,                0.86636,                  1.168,                 1.1712,                      1,                0.94968,                0.94531,              0.0006832
                     16,                0.87993,                 1.1645,                0.86357,                 1.1645,                 1.1659,                0.99976,                0.94919,                0.94482,              0.0006634
                     17,                0.87675,                 1.1646,                0.86001,                 1.1646,                 1.1694,                0.99976,                0.95066,                0.94141,              0.0006436
                     18,                0.87173,                 1.1666,                0.85839,                 1.1666,                 1.1712,                0.99976,                0.94871,                0.94336,              0.0006238
                     19,                0.86997,                 1.1656,                0.85534,                 1.1656,                 1.1703,                      1,                0.95066,                0.94043,               0.000604
                     20,                0.86737,                  1.162,                0.85324,                  1.162,                 1.1697,                      1,                0.95359,                0.94727,              0.0005842
                     21,                0.86351,                 1.1649,                0.85116,                 1.1649,                 1.1735,                      1,                0.94968,                0.94043,              0.0005644
                     22,                0.86081,                 1.1616,                0.84968,                 1.1616,                 1.1694,                      1,                0.95261,                0.94287,              0.0005446
                     23,                0.85822,                 1.1638,                0.84701,                 1.1638,                 1.1705,                      1,                0.95115,                0.94434,              0.0005248
                     24,                0.85734,                 1.1647,                0.84492,                 1.1647,                 1.1723,                      1,                0.94871,                0.94531,               0.000505
                     25,                0.85564,                 1.1633,                0.84358,                 1.1633,                 1.1693,                      1,                0.95115,                0.94385,              0.0004852
                     26,                0.85373,                 1.1659,                0.84256,                 1.1659,                 1.1753,                      1,                0.94871,                0.94531,              0.0004654
                     27,                0.85323,                 1.1619,                0.84148,                 1.1619,                 1.1711,                      1,                0.95213,                0.94629,              0.0004456
                     28,                0.85132,                  1.167,                0.84026,                  1.167,                 1.1756,                      1,                0.94871,                0.94482,              0.0004258
                     29,                0.85142,                 1.1643,                 0.8399,                 1.1643,                 1.1735,                      1,                0.94773,                0.94434,               0.000406
                     30,                 0.8492,                 1.1642,                0.83802,                 1.1642,                 1.1724,                      1,                0.94773,                0.94824,              0.0003862
                     31,                0.84828,                 1.1631,                0.83751,                 1.1631,                 1.1713,                      1,                0.94773,                0.94727,              0.0003664
                     32,                0.84622,                 1.1641,                0.83668,                 1.1641,                 1.1741,                      1,                0.94968,                0.94824,              0.0003466
                     33,                0.84544,                 1.1679,                0.83527,                 1.1679,                 1.1754,                      1,                0.94919,                0.94385,              0.0003268
                     34,                0.84642,                 1.1662,                0.83475,                 1.1662,                 1.1764,                      1,                0.94968,                0.94775,               0.000307
                     35,                0.84481,                 1.1658,                0.83455,                 1.1658,                 1.1753,                      1,                0.94871,                0.94482,              0.0002872
                     36,                0.84389,                 1.1652,                0.83328,                 1.1652,                 1.1749,                      1,                0.94675,                0.94531,              0.0002674
                     37,                0.84326,                 1.1649,                0.83272,                 1.1649,                 1.1767,                      1,                0.94968,                0.94531,              0.0002476
                     38,                 0.8422,                 1.1676,                0.83211,                 1.1676,                 1.1791,                      1,                0.94968,                0.94531,              0.0002278
                     39,                0.84108,                 1.1676,                0.83172,                 1.1676,                 1.1783,                      1,                0.95261,                0.94482,               0.000208
                     40,                0.84223,                 1.1649,                0.83138,                 1.1649,                 1.1756,                      1,                0.95017,                0.94678,              0.0001882
                     41,                0.84177,                 1.1661,                 0.8309,                 1.1661,                 1.1769,                      1,                0.94871,                0.94629,              0.0001684
                     42,                0.84009,                 1.1681,                0.83001,                 1.1681,                 1.1783,                      1,                0.94871,                0.94727,              0.0001486
                     43,                0.83989,                 1.1646,                0.83018,                 1.1646,                  1.176,                      1,                0.95066,                0.94824,              0.0001288
                     44,                 0.8397,                  1.168,                0.83007,                  1.168,                 1.1796,                      1,                0.94724,                0.94678,               0.000109
                     45,                0.83888,                 1.1685,                0.82939,                 1.1685,                 1.1777,                      1,                0.95164,                0.94678,               8.92e-05
                     46,                 0.8388,                 1.1663,                0.82938,                 1.1663,                  1.177,                      1,                0.95066,                0.94678,               6.94e-05
                     47,                0.83836,                  1.168,                0.82892,                  1.168,                 1.1783,                      1,                0.94919,                0.94873,               4.96e-05
                     48,                0.83669,                 1.1696,                0.82866,                 1.1696,                   1.18,                      1,                0.95115,                0.94629,               2.98e-05
                     49,                 0.8374,                 1.1682,                0.82862,                 1.1682,                 1.1793,                      1,                0.95115,                0.94629,                  1e-05
